country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lao,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3
Latvia,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7
Lebanon,0.0122,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lesotho,,,,,,0.0111,,,,,,0.8,1.7,3.3,5.9,9.8,14.3,18.5,21.6,23.4,24.2,24.5,24.5,24.3,24.1,23.8,23.6,23.5,23.5,23.6,23,23.2,23.3
Liberia,0.0118,,,,,,,,,,,0.3,0.5,1,1.7,2.5,3.1,3.4,3.6,3.5,3.4,3.3,3.1,2.8,2.6,2.4,2.2,2,1.8,1.6,1.3,1.1,1
Lithuania,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
Luxembourg,0.0137,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Madagascar,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Malawi,,0.0153,,,,,,,,,,7.2,8.8,10.5,11.9,13.1,13.9,14.5,14.7,14.7,14.5,14.2,13.8,13.4,13,12.5,12.1,11.8,11.4,11.2,10.9,10.4,10
Malaysia,,,,,,,,,0.0102,,,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4
Maldives,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Mali,,,,0.0126,,,,,,,,0.4,0.6,1,1.4,1.7,1.8,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.1,1,1.2,1.1,1.1
Malta,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mauritania,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,1,1.1,1.1
Mauritius,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1,1
Mexico,0.0312,,,,,,,,,,,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
Moldova,,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
Mongolia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Morocco,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Mozambique,0.0757,,,,,,,,,,,1.2,1.6,2.1,2.7,3.4,4.1,4.9,5.8,6.7,7.7,8.6,9.4,10.1,10.6,11,11.2,11.3,11.4,11.4,11.3,11.3,11.3
Myanmar,,,,,,,0.01,,,,,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6
Namibia,0.0168,,,,,,,,,,,1.6,2.2,3,4.1,5.5,7.1,8.9,10.7,12.5,14.1,15.3,16.1,16.5,16.5,16.2,15.7,15,14.3,13.7,13.7,13.6,13.4
Nepal,,,,,,,0.01,,,,,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Netherlands,,,,0.0108,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
New Zealand,,,,,,,,0.0114,,,,0.1,0.1,0.1,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nicaragua,,,,,,,,0.00951,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Niger,,,,,0.0114,,,,,,,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,0.9,1,1,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8
Nigeria,0.038,,,,,,,,,,,1.3,2.2,3.1,3.6,3.8,4,4,4,4,4,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7
Norway,,,,,0.0144,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Oman,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,,,
Pakistan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Panama,0.0464,,,,,,,,,,,0.2,0.3,0.3,0.4,1.1,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1,0.9,0.9,0.8,0.8,0.8
Papua New Guinea,,,,,,,,,0.0102,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.7,0.7,0.7
Paraguay,,,,,0.00974,,,,,,,0.06,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Peru,0.0107,,,,,,,,,,,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Philippines,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Poland,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Portugal,0.0205,,,,,,,,,,,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7
Qatar,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,
Romania,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Russia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.3,0.5,0.6,0.8,0.8,0.9,0.9,0.9,1,,,
Rwanda,0.01,,,,,,,,,,,5.2,5.2,5.1,5,4.9,4.7,4.5,4.3,4.2,4,3.8,3.7,3.6,3.4,3.2,3.1,3,2.9,2.9,3,3,2.9
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Senegal,,,0.00952,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7
Serbia,,,,,,,0.01,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sierra Leone,,,,,,,0.011,,,,,0.06,0.06,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6
Singapore,,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Slovak Republic,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Slovenia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1
Somalia,,,,,,,,,0.0104,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7
South Africa,,,0.0142,,,,,,,,,0.7,1.2,1.8,2.9,4.3,6.1,8.4,10.7,12.9,14.8,16.1,17.1,17.7,18,18.1,18.1,18.1,18,17.9,17.2,17.3,17.3
South Korea,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Spain,0.01,,,,,,,,,,,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Sri Lanka,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Sudan,0.0624,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,0.4,0.4,0.4
Suriname,,0.0119,,,,,,,,,,0.1,0.2,0.2,0.4,0.6,0.7,0.9,0.9,1,1,1,1,1,1,1,1.1,1,1,1,1.2,1.1,1
Swaziland,,,,0.011,,,,,,,,2.3,3.2,4.4,6.1,8.1,10.6,13.3,16,18.5,20.6,22.3,23.6,24.5,25.1,25.5,25.6,25.7,25.8,25.9,25.8,25.9,26
Sweden,,,,,0.0191,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
Switzerland,,,,,,,0.054,,,,,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Tajikistan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3
Tanzania,0.01,,,,,,,,,,,4.8,5.7,6.5,7.1,7.6,7.8,7.9,7.9,7.7,7.5,7.3,7.1,6.8,6.6,6.4,6.2,6,5.9,5.8,5.8,5.8,5.8
Thailand,,,,,,,0.01,,,,,1,1.5,1.8,2,2.1,2.1,2.1,2,2,1.9,1.8,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2
Togo,0.0099,,,,,,,,,,,0.6,0.8,1.2,1.6,2,2.5,2.9,3.1,3.4,3.5,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.6,3.5,3.4
Trinidad and Tobago,,,,0.0106,,,,,,,,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.5
Tunisia,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Turkey,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Uganda,0.01,,,,,,,,,,,10.2,10.7,10.5,10.2,9.8,9.3,8.8,8.4,8,7.6,7.3,7,6.8,6.6,6.4,6.4,6.3,6.3,6.4,6.9,7,7.2
Ukraine,,,,,,,,,,,,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.8,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,0.9,0.8,0.8
United Kingdom,,,,,0.0193,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
United States,0.0318,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Uruguay,0.0097,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
Uzbekistan,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
Vietnam,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2
Zambia,0.01,,,,,,,,,,,12.7,13.6,14.2,14.6,14.9,15,14.9,14.8,14.7,14.6,14.4,14.3,14.2,14.1,14,13.9,13.8,13.7,13.6,12.9,12.7,12.5
Zimbabwe,0.01,,,,,,,,,,,10.1,13.6,17.2,20.6,23.3,25.1,26.2,26.5,26.3,25.7,24.8,23.7,22.5,21.1,19.8,18.4,17.2,16.1,15.1,15.7,15.2,14.9
